timestamp (dd/mm/yyyy hh:mm:ss), energy (Wh)
01/01/2014 00:00:00,176
01/01/2014 00:30:00,254
01/01/2014 01:00:00,218
01/01/2014 01:30:00,280
01/01/2014 02:00:00,372
01/01/2014 02:30:00,216
01/01/2014 03:00:00,228
01/01/2014 03:30:00,190
01/01/2014 04:00:00,170
01/01/2014 04:30:00,154
01/01/2014 05:00:00,196
01/01/2014 05:30:00,188
01/01/2014 06:00:00,258
01/01/2014 06:30:00,220
01/01/2014 07:00:00,221
01/01/2014 07:30:00,188
01/01/2014 08:00:00,244
01/01/2014 08:30:00,178
01/01/2014 09:00:00,214
01/01/2014 09:30:00,152
01/01/2014 10:00:00,199
01/01/2014 10:30:00,142
01/01/2014 11:00:00,440
01/01/2014 11:30:00,452
01/01/2014 12:00:00,242
01/01/2014 12:30:00,387
01/01/2014 13:00:00,298
01/01/2014 13:30:00,430
01/01/2014 14:30:00,214
01/01/2014 15:00:00,285
01/01/2014 15:30:00,173
01/01/2014 16:00:00,213
01/01/2014 16:30:00,139
01/01/2014 17:00:00,243
01/01/2014 17:30:00,371
01/01/2014 18:00:00,325
01/01/2014 18:30:00,387
01/01/2014 19:00:00,497
01/01/2014 19:30:00,428
01/01/2014 20:00:00,522
01/01/2014 20:30:00,383
01/01/2014 21:00:00,438
01/01/2014 21:30:00,394
01/01/2014 22:00:00,441
01/01/2014 22:30:00,324
01/01/2014 23:00:00,304
01/01/2014 23:30:00,357
02/01/2014 00:00:00,327
02/01/2014 00:30:00,326
02/01/2014 01:00:00,302
02/01/2014 01:30:00,327
02/01/2014 02:00:00,204
02/01/2014 02:30:00,199
02/01/2014 03:00:00,188
02/01/2014 03:30:00,192
02/01/2014 04:00:00,289
02/01/2014 04:30:00,229
02/01/2014 05:00:00,274
02/01/2014 05:30:00,240
02/01/2014 06:00:00,288
02/01/2014 06:30:00,272
02/01/2014 07:00:00,721
02/01/2014 07:30:00,448
02/01/2014 08:00:00,246
02/01/2014 08:30:00,208
02/01/2014 09:00:00,223
02/01/2014 09:30:00,126
02/01/2014 10:00:00,157
02/01/2014 10:30:00,164
02/01/2014 11:00:00,290
02/01/2014 11:30:00,176
02/01/2014 12:00:00,210
02/01/2014 12:30:00,220
02/01/2014 13:00:00,241
02/01/2014 13:30:00,236
02/01/2014 14:00:00,322
02/01/2014 14:30:00,152
02/01/2014 15:00:00,276
02/01/2014 15:30:00,497
02/01/2014 16:00:00,352
02/01/2014 16:30:00,180
02/01/2014 17:00:00,221
02/01/2014 17:30:00,329
02/01/2014 18:00:00,429
02/01/2014 18:30:00,595
02/01/2014 19:00:00,394
02/01/2014 19:30:00,425
02/01/2014 20:00:00,287
02/01/2014 20:30:00,276
02/01/2014 21:00:00,218
02/01/2014 21:30:00,381
02/01/2014 22:00:00,347
02/01/2014 22:30:00,331
02/01/2014 23:00:00,287
02/01/2014 23:30:00,363
03/01/2014 00:00:00,332
03/01/2014 00:30:00,262
03/01/2014 01:00:00,253
03/01/2014 01:30:00,238
03/01/2014 02:00:00,271
03/01/2014 02:30:00,272
03/01/2014 03:00:00,303
03/01/2014 03:30:00,252
03/01/2014 04:00:00,265
03/01/2014 04:30:00,222
03/01/2014 05:00:00,209
03/01/2014 05:30:00,246
03/01/2014 06:00:00,398
03/01/2014 06:30:00,305
03/01/2014 07:00:00,450
03/01/2014 07:30:00,332
03/01/2014 08:00:00,362
03/01/2014 08:30:00,221
03/01/2014 09:00:00,284
03/01/2014 09:30:00,197
03/01/2014 10:00:00,291
03/01/2014 10:30:00,216
03/01/2014 11:00:00,294
03/01/2014 11:30:00,212
03/01/2014 12:00:00,256
03/01/2014 12:30:00,178
03/01/2014 13:00:00,191
03/01/2014 13:30:00,148
03/01/2014 14:00:00,216
03/01/2014 14:30:00,288
03/01/2014 15:00:00,216
03/01/2014 15:30:00,139
03/01/2014 16:00:00,166
03/01/2014 16:30:00,541
03/01/2014 17:00:00,290
03/01/2014 17:30:00,254
03/01/2014 18:00:00,228
03/01/2014 18:30:00,439
03/01/2014 19:00:00,437
03/01/2014 19:30:00,295
03/01/2014 20:00:00,487
03/01/2014 20:30:00,398
03/01/2014 21:00:00,412
03/01/2014 21:30:00,379
03/01/2014 22:00:00,365
03/01/2014 22:30:00,337
03/01/2014 23:00:00,317
03/01/2014 23:30:00,224
04/01/2014 00:00:00,292
04/01/2014 00:30:00,276
04/01/2014 01:00:00,280
04/01/2014 01:30:00,238
04/01/2014 02:00:00,209
04/01/2014 02:30:00,260
04/01/2014 03:00:00,156
04/01/2014 03:30:00,217
04/01/2014 04:00:00,200
04/01/2014 04:30:00,193
04/01/2014 05:00:00,256
04/01/2014 05:30:00,239
04/01/2014 06:00:00,266
