timestamp (dd/mm/yyyy hh:mm:ss), energy (Wh)
01/01/2014 00:00:00,250
01/01/2014 00:30:00,298
01/01/2014 01:00:00,123
01/01/2014 01:30:00,747
01/01/2014 02:00:00,68
01/01/2014 02:30:00,135
01/01/2014 03:00:00,94
01/01/2014 03:30:00,102
01/01/2014 04:00:00,58
01/01/2014 04:30:00,66
01/01/2014 05:00:00,61
01/01/2014 05:30:00,76
01/01/2014 06:00:00,690
01/01/2014 06:30:00,70
01/01/2014 07:00:00,55
01/01/2014 07:30:00,60
01/01/2014 08:00:00,58
01/01/2014 08:30:00,66
01/01/2014 09:00:00,99
01/01/2014 09:30:00,102
01/01/2014 10:00:00,100
01/01/2014 10:30:00,86
01/01/2014 11:00:00,935
01/01/2014 11:30:00,353
01/01/2014 12:00:00,662
01/01/2014 12:30:00,338
01/01/2014 13:00:00,408
01/01/2014 13:30:00,1229
01/01/2014 14:30:00,1354
01/01/2014 15:00:00,1374
01/01/2014 15:30:00,2026
01/01/2014 16:00:00,662
01/01/2014 16:30:00,2027
01/01/2014 17:00:00,687
01/01/2014 17:30:00,1127
01/01/2014 18:00:00,548
01/01/2014 18:30:00,800
01/01/2014 19:00:00,836
01/01/2014 19:30:00,527
01/01/2014 20:00:00,475
01/01/2014 20:30:00,473
01/01/2014 21:00:00,528
01/01/2014 21:30:00,1736
01/01/2014 22:00:00,2061
01/01/2014 22:30:00,634
01/01/2014 23:00:00,371
01/01/2014 23:30:00,222
02/01/2014 00:00:00,204
02/01/2014 00:30:00,209
02/01/2014 01:00:00,854
02/01/2014 01:30:00,210
02/01/2014 02:00:00,183
02/01/2014 02:30:00,64
02/01/2014 03:00:00,78
02/01/2014 03:30:00,123
02/01/2014 04:00:00,104
02/01/2014 04:30:00,79
02/01/2014 05:00:00,460
02/01/2014 05:30:00,331
02/01/2014 06:00:00,67
02/01/2014 06:30:00,58
02/01/2014 07:00:00,88
02/01/2014 07:30:00,59
02/01/2014 08:00:00,156
02/01/2014 08:30:00,1477
02/01/2014 09:00:00,401
02/01/2014 09:30:00,757
02/01/2014 10:00:00,387
02/01/2014 10:30:00,384
02/01/2014 11:00:00,79
02/01/2014 11:30:00,694
02/01/2014 12:00:00,63
02/01/2014 12:30:00,65
02/01/2014 13:00:00,64
02/01/2014 13:30:00,69
02/01/2014 14:00:00,84
02/01/2014 14:30:00,112
02/01/2014 15:00:00,81
02/01/2014 15:30:00,781
02/01/2014 16:00:00,824
02/01/2014 16:30:00,471
02/01/2014 17:00:00,420
02/01/2014 17:30:00,1348
02/01/2014 18:00:00,959
02/01/2014 18:30:00,413
02/01/2014 19:00:00,412
02/01/2014 19:30:00,749
02/01/2014 20:00:00,1733
02/01/2014 20:30:00,1972
02/01/2014 21:00:00,2229
02/01/2014 21:30:00,544
02/01/2014 22:00:00,1498
02/01/2014 22:30:00,1502
02/01/2014 23:00:00,493
02/01/2014 23:30:00,71
03/01/2014 00:00:00,81
03/01/2014 00:30:00,668
03/01/2014 01:00:00,99
03/01/2014 01:30:00,58
03/01/2014 02:00:00,78
03/01/2014 02:30:00,64
03/01/2014 03:00:00,71
03/01/2014 03:30:00,65
03/01/2014 04:00:00,58
03/01/2014 04:30:00,75
03/01/2014 05:00:00,738
03/01/2014 05:30:00,107
03/01/2014 06:00:00,53
03/01/2014 06:30:00,75
03/01/2014 07:00:00,59
03/01/2014 07:30:00,77
03/01/2014 08:00:00,58
03/01/2014 08:30:00,69
03/01/2014 09:00:00,49
03/01/2014 09:30:00,700
03/01/2014 10:00:00,159
03/01/2014 10:30:00,152
03/01/2014 11:00:00,335
03/01/2014 11:30:00,221
03/01/2014 12:00:00,233
