meter_id,date,daily_energy_wh
1130211_FD1_L1_EDMI_1_D,2013-02-27,7383
1130211_FD1_L1_EDMI_1_D,2013-02-28,6330
1130211_FD1_L1_EDMI_1_D,2013-03-01,7184
1130211_FD1_L1_EDMI_1_D,2013-03-02,9270
1130211_FD1_L1_EDMI_1_D,2013-03-03,8500
1130211_FD1_L1_EDMI_1_D,2013-03-04,6324
1130211_FD1_L1_EDMI_1_D,2013-03-05,7836
1130211_FD1_L1_EDMI_1_D,2013-03-06,18809
1130211_FD1_L1_EDMI_1_D,2013-03-07,6105
1130211_FD1_L1_EDMI_1_D,2013-03-08,30824
1130211_FD1_L1_EDMI_1_D,2013-03-09,6980
1130211_FD1_L1_EDMI_1_D,2013-03-10,12081
1130211_FD1_L1_EDMI_1_D,2013-03-11,11630
1130211_FD1_L1_EDMI_1_D,2013-03-12,8986
1130211_FD1_L1_EDMI_1_D,2013-03-13,8904
1130211_FD1_L1_EDMI_1_D,2013-03-14,6270
1130211_FD1_L1_EDMI_1_D,2013-03-15,6330
1130211_FD1_L1_EDMI_1_D,2013-03-16,8835
1130211_FD1_L1_EDMI_1_D,2013-03-17,10137
1130211_FD1_L1_EDMI_1_D,2013-03-18,7866
1130211_FD1_L1_EDMI_1_D,2013-03-19,8266
1130211_FD1_L1_EDMI_1_D,2013-03-20,7735
1130211_FD1_L1_EDMI_1_D,2013-03-21,5444
1130211_FD1_L1_EDMI_1_D,2013-03-22,8626
1130211_FD1_L1_EDMI_1_D,2013-03-23,8633
1130211_FD1_L1_EDMI_1_D,2013-03-24,8413
1130211_FD1_L1_EDMI_1_D,2013-03-25,11184
1130211_FD1_L1_EDMI_1_D,2013-03-26,7199
1130211_FD1_L1_EDMI_1_D,2013-03-27,4717
1130211_FD1_L1_EDMI_1_D,2013-03-28,6084
1130211_FD1_L1_EDMI_1_D,2013-03-29,9659
1130211_FD1_L1_EDMI_1_D,2013-03-30,7993
1130211_FD1_L1_EDMI_1_D,2013-03-31,6503
