hour,average_energy_wh
19,454.9627337650548
20,446.2485172184228
18,434.1791593536283
21,421.42383344428976
17,379.7192247170611
22,370.8013072686558
16,332.01423772922595
23,326.17749500696
15,316.94046178054833
14,298.7969000696273
13,284.3567202796145
8,283.0218621399177
12,279.0811886281452
9,271.11266945049624
10,269.3031045751634
7,268.6556826434277
11,263.92453172753955
0,239.8878349142952
6,213.3223795691116
5,187.46034555797627
1,176.81462319258372
2,158.67896695715322
4,147.57372609537643
3,146.24063483418058
