meter_id,total_energy_wh,average_energy_wh,min_energy_wh,max_energy_wh,readings
1625530_FD3_L2_EDMI_20_D,48485934,712.9550487449822,0,4581,68007
1623189_FD1_NK_EDMI_10_D,37304327,545.074109791201,0,65535,68439
1625530_FD3_NK_EDMI_21_D,30419234,439.2352032344235,0,4005,69255
1621554_FD4_NK_EDMI_4_D,29788207,435.55741252503987,0,2713,68391
1625529_FD2_L2_EDMI_14_D,25477906,385.5206924205971,0,4406,66087
1625530_FD2_L2_EDMI_18_D,25009497,375.70413267835414,0,4336,66567
1623189_FD1_L2_EDMI_7_D,24038806,340.72948647078,0,4409,70551
1625460_FD3_L1_EDMI_12_D,21310288,287.6658747300216,0,3194,74080
1315367_FD1_L3_EDMI_2_D,20965662,312.7009709606694,0,3472,67047
1625552_FD3_L2_EDMI_22_D,20901572,307.9965813477153,21,5621,67863
1623101_FD4_L1_EDMI_5_D,19986057,275.06271676300577,0,3180,72660
1619722_FD3_NK_EDMI_3_D,16425946,273.14209222275804,0,2583,60137
1625563_FD3_NK_EDMI_23_D,15282318,226.31418543693633,0,3911,67527
1625530_FD3_L1_EDMI_19_D,15085089,223.71148284913468,0,3203,67431
1623123_FD1_L3_EDMI_6_D,13891006,193.54083011717498,0,2338,71773
1625529_FD4_L3_EDMI_16_D,13652284,286.75847003717786,0,2755,47609
1625529_FD4_NK_EDMI_17_D,13478029,240.2286605471883,0,2764,56105
1130211_FD1_L1_EDMI_1_D,11742122,166.09550887615814,3,3528,70695
1623189_FD1_L3_EDMI_8_D,10661027,159.12218092807356,0,3167,66999
1623189_FD1_NK_EDMI_9_D,10384485,157.13355122792683,0,4204,66087
1625574_FD2_L3_EDMI_24_D,9875153,205.9683595786839,0,2048,47945
1625529_FD2_L3_EDMI_15_D,9805814,146.98946200776484,0,3297,66711
1625460_FD3_L2_EDMI_13_D,9354738,134.42453765573134,7,2509,69591
1623189_FD2_NK_EDMI_11_D,7351738,107.34501438229152,0,2596,68487
