meter_id,total_energy_wh,average_energy_wh,min_energy_wh,max_energy_wh,readings
1625530_FD3_L2_EDMI_20_D,48485934,712.9550487449822,0,4581,68007
1623189_FD1_NK_EDMI_10_D,37304327,545.074109791201,0,65535,68439
1625530_FD3_NK_EDMI_21_D,30419234,439.2352032344235,0,4005,69255
1621554_FD4_NK_EDMI_4_D,29788207,435.55741252503987,0,2713,68391
1625529_FD2_L2_EDMI_14_D,25477906,385.5206924205971,0,4406,66087
1625530_FD2_L2_EDMI_18_D,25009497,375.70413267835414,0,4336,66567
1623189_FD1_L2_EDMI_7_D,24038806,340.72948647078,0,4409,70551
1625460_FD3_L1_EDMI_12_D,21310288,287.6658747300216,0,3194,74080
1315367_FD1_L3_EDMI_2_D,20965662,312.7009709606694,0,3472,67047
1625552_FD3_L2_EDMI_22_D,20901572,307.9965813477153,21,5621,67863
